JPM,Up,2024-07-16
SPY,Up,2024-07-16
MSFT,Down,2024-07-16
GOOGL,Up,2024-07-16
V,Up,2024-07-16
JNJ,Up,2024-07-16
WMT,Up,2024-07-16
UNH,Up,2024-07-16
NVDA,Down,2024-07-16
DIS,Up,2024-07-16
PYPL,Up,2024-07-16
HD,Up,2024-07-16
MA,Up,2024-07-16
VZ,Up,2024-07-16
NFLX,Up,2024-07-16
MRK,Up,2024-07-16
PEP,Up,2024-07-16
KO,Up,2024-07-16
XOM,Up,2024-07-16
ABT,Up,2024-07-16
ADBE,Up,2024-07-16
CRM,Up,2024-07-16
PFE,Down,2024-07-16
AVGO,Up,2024-07-16
T,Up,2024-07-16
ABBV,Up,2024-07-16
COST,Up,2024-07-16
MDT,Up,2024-07-16
MCD,Up,2024-07-16
TXN,Up,2024-07-16
HON,Up,2024-07-16
WFC,Up,2024-07-16
QCOM,Up,2024-07-16
BMY,Up,2024-07-16
UNP,Up,2024-07-16
PM,Up,2024-07-16
LLY,Up,2024-07-16
IBM,Up,2024-07-16
NEE,Up,2024-07-16
XLY,Up,2024-07-16
VYM,Up,2024-07-16
